SKU,Brand,Category,Gender,Diameter,Atm,Case_Size,Case_Material,Case_Color,Dial_Color,Strap_Material,Strap_Color,Regular_Price
watch_476,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Black,Leather,Black,596.0
watch_477,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Brown,Leather,Brown,1111.0
watch_478,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Beige,Leather,Brown,1240.0
watch_479,torsero,Watch,Male,44.0,10.0,Large,Plastic,Black,Black,Silicone,Black,811.0
watch_480,torsero,Watch,Male,44.0,10.0,Large,Plastic,Blue,Blue,Leather,Blue,596.0
watch_481,torsero,Watch,Male,44.0,10.0,Large,Plastic,Black,Black,Leather,Black,639.0
watch_482,torsero,Watch,Male,40.0,10.0,Medium,Plastic,Blue,Blue,Fabric,Blue,725.0
watch_483,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Leather,Blue,811.0
watch_484,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Leather,Black,596.0
watch_485,torsero,Watch,Female,41.0,10.0,Medium,Plastic,Black,Black,Silicone,Black,811.0
watch_486,torsero,Watch,Female,36.0,10.0,Medium,Plastic,White,White,Silicone,White,811.0
watch_487,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Black,Black,Silicone,Two Tone,768.0
watch_488,torsero,Watch,Male,47.0,10.0,X-Large,Plastic,Black,LCD,Silicone,Black,811.0
watch_489,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,553.0
watch_490,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,639.0
watch_491,torsero,Watch,Male,46.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,596.0
watch_492,torsero,Watch,Male,46.0,10.0,Large,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,596.0
watch_493,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,596.0
watch_494,torsero,Watch,Male,39.0,10.0,Medium,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,682.0
watch_495,torsero,Watch,Male,39.0,10.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,639.0
watch_496,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,639.0
watch_497,torsero,Watch,Female,31.0,10.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,596.0
watch_498,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,398.0
watch_499,torsero,Watch,Female,32.0,5.0,Small,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,1490.0
watch_500,torsero,Watch,Female,32.0,10.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,1150.0
watch_501,torsero,Watch,Female,32.0,5.0,Small,Stainless Steel,Silver,Beige,Metal Bracelet,Silver,769.0
watch_502,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,949.0
watch_503,torsero,Watch,Female,36.0,5.0,Medium,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,769.0
watch_504,torsero,Watch,Female,36.0,5.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,645.0
watch_505,torsero,Watch,Female,36.0,5.0,Medium,Stainless Steel,Silver,Rose Gold,Metal Bracelet,Silver,445.0
watch_506,torsero,Watch,Female,36.0,5.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,769.0
watch_507,torsero,Watch,Female,36.0,5.0,Medium,Stainless Steel,Silver,Purple,Metal Bracelet,Silver,350.0
watch_508,torsero,Watch,Male,44.0,10.0,Large,Stainless Steel,Black,Black,Silicone,Black,590.0
watch_509,torsero,Watch,Male,44.0,10.0,Large,Stainless Steel,Silver,White,Leather,Black,590.0
watch_510,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Rose Gold,Black,Leather,Purple,390.0
watch_511,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Blue,Leather,Black,1150.0
watch_512,torsero,Watch,Male,49.0,10.0,X-Large,Stainless Steel,Black,Black,Leather,Green,1299.0
watch_513,torsero,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Black,Leather,Brown,899.0
watch_514,torsero,Watch,Male,41.0,5.0,Medium,Stainless Steel,Silver,White,Leather,Black,260.0
watch_515,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Rose Gold,Black,Leather,Black,669.0
watch_516,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,1499.0
watch_517,torsero,Watch,Male,39.0,10.0,Medium,Stainless Steel,Silver,White,Metal Bracelet,Silver,1490.0
watch_518,torsero,Watch,Male,39.0,10.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,450.0
watch_519,torsero,Watch,Male,44.0,10.0,Large,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,1290.0
watch_520,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,2484.0
watch_521,torsero,Watch,Male,41.0,10.0,Medium,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,1150.0
watch_522,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,1626.0
watch_523,torsero,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,769.0
watch_524,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,350.0
watch_525,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Black,Beige,Metal Bracelet,Black,999.0
watch_526,rlafual,Watch,Female,38.0,3.0,Medium,Stainless Steel,Gold,Black,Leather,Black,553.0
watch_527,rlafual,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,Blue,Leather,Blue,854.0
watch_528,rlafual,Watch,Female,34.0,3.0,Small,Stainless Steel,Gold,Blue,Leather,Blue,849.0
watch_529,rlafual,Watch,Female,34.0,3.0,Small,Stainless Steel,Rose Gold,Silver,Leather,Black,1283.0
watch_530,rlafual,Watch,Female,34.0,3.0,Small,Stainless Steel,Silver,Pink,Leather,Pink,1283.0
watch_531,rlafual,Watch,Female,36.0,3.0,Medium,Stainless Steel,Silver,Red,Leather,Red,1283.0
watch_532,rlafual,Watch,Female,24.0,3.0,Small,Stainless Steel,Silver,Silver,Leather,Beige,725.0
watch_533,rlafual,Watch,Female,35.0,3.0,Small,Stainless Steel,Rose Gold,Blue,Metal Bracelet,Rose Gold,982.0
watch_534,rlafual,Watch,Female,35.0,3.0,Small,Stainless Steel,Silver,Purple,Metal Bracelet,Silver,982.0
